行政區,路名,段、號及其他註明,經度,緯度,備註
北投區,中央北路,1段2號前公車站牌,121.501341,25.133631,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中和街,402號旁公車站牌,121.49816,25.143497,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大業路,37號旁公車站牌,121.499134,25.122876,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,1段30號前,121.501286,25.123679,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,220號旁公車站牌,121.507589,25.127347,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,公館路,352號對面公車站牌,121.504769,25.123083,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,二段3號公園前(左側),121.49803,25.131999,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,北投路,二段3號公園後(右側),121.497585,25.131855,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,二段27號對面公車站牌,121.495776,25.136723,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,1段73號公車站牌旁,121.50111,25.13369,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,4段28號對面,121.478465,25.135152,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,4段301號旁,121.473491,25.131326,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,4段584號對面,121.466425,25.126874,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,中央北路,4段162號前,121.475499,25.133171,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段250號旁,121.467033,25.123461,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段250號旁,121.467431,25.123381,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段168號前,121.468626,25.1233,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段250號對面,121.467107,25.123463,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段250號對面,121.467446,25.123427,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段250號旁,121.467931,25.123353,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段168號前,121.46849,25.123308,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段168號旁,121.468244,25.123329,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,大度路,三段168號旁,121.468618,25.123298,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,知行路,336號,121.467092,25.122873,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,新民路,73之6號前,121.512748,25.141038,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,行義路,363之1號前,121.527744,25.140315,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,紗帽路,141巷23號前,121.544949,25.151899,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,紗帽路,143號旁,121.545919,25.151486,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,湖山路,1段2號前,121.549609,25.151378,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,泉源路,242號對面,121.530647,25.147929,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,108之2號前,121.530064,25.156227,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,湖底路,81號旁,121.537874,25.153271,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,行義路,與陽投公路交口旁,121.526621,25.143879,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,紗帽路,52號大埔公車站旁,121.535644,25.143128,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,紗帽路,84號第一展望台旁,121.544159,25.142206,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,新民路,22巷口旁,121.507242,25.139327,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,幽雅路,杏林巷口旁,121.514207,25.138715,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,12巷口旁,121.523085,25.145939,嚴禁投入家用垃圾，違者重罰新台幣6000元
北投區,東昇路,197號圳內公車站牌旁,121.532076,25.159966,嚴禁投入家用垃圾，違者重罰新台幣6000元
