"","行政區","路名","段、號及其他註明","經度","緯度","備註"
"54","中山區","松江路","民權東路二段(公車道南往北)2","121.533254",25.062338,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"55","中山區","民權東路","二段建國北路口(東向西公車道)1","121.5367",25.06233,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"56","中山區","民生東路","二段149號東側","121.535169",25.058021,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"57","中山區","松江路","錦洲街(公車道北往南)2","121.53313",25.060379,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"58","中山區","民生東路","二段141號","121.533384",25.058036,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"59","中山區","松江路","220號前(中國信託)","121.532971",25.058026,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"60","中山區","民權東路","三段4號","121.538464",25.062227,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"61","中山區","民權東路","三段與龍江路口(西向東公車道)","121.540485",25.062331,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"62","中山區","民權東路","三段與龍江路交叉口(西往東)","121.540682",25.062323,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"63","中山區","民權東路","三段與龍江路口(東向西公車道)(三)","121.541004",25.062417,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"64","中山區","民權東路","三段58號","121.542532",25.062188,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"65","中山區","民權東路","三段與復興北路口(西向東公車道二)","121.543931",25.062246,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"66","中山區","錦州街","臨306號","121.536768",25.060271,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"67","中山區","民權東路","三段與復興北路口(西向東公車道一)","121.543931",25.062246,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"68","中山區","錦州街","與建國北路口(西往東)","121.537295",25.060323,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"69","中山區","錦州街","與建國北路口(東往西)","121.537295",25.060323,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"70","中山區","民生東路","三段67號","121.543203",25.057942,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"71","中山區","民生東路","三段65巷口","121.54171",25.057965,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"72","中山區","民生東路","三段與龍江路","121.540575",25.057957,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"73","中山區","民生東路","三段15號","121.538103",25.058051,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"74","中山區","建國北路","二段125號迴轉道(西往東)","121.537288",25.060204,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"75","中山區","建國北路","二段135號","121.537279",25.06053,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"76","中山區","建國北路","二段151號","121.537328",25.061785,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"77","中山區","建國北路","二段125號迴轉道(東往西)","121.537288",25.060204,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"78","中山區","民權東路","三段與龍江路口(東向西公車道)(三)","121.541004",25.062417,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"79","中山區","民權東路","三段(榮星公園一)","121.540777",25.06251,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"80","中山區","民權東路","三段(榮星公園二)","121.540244",25.062502,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"81","中山區","民權東路","三段(榮星公園三)","121.539223",25.062514,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"82","中山區","民權東路","三段(榮星公園四)","121.538313",25.062514,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"83","中山區","民權東路","三段與建國北路口(東向西公車道)(三)","121.537356",25.062424,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"84","中山區","建國北路","三段口東側","121.537309",25.062638,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"85","中山區","民權東路","二段與松江路口(東向西公車道)(三)","121.533567",25.062522,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"86","中山區","民權東路","二段145號(一)","121.536393",25.062569,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"87","中山區","民權東路","二段145號(二)","121.535844",25.062577,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"88","中山區","民權東路","二段145號(三)","121.535569",25.062577,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"89","中山區","民權東路","二段與松江路口(東向西公車道)(三)","121.533404",25.062533,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"90","中山區","松江路","363號","121.533387",25.063699,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"91","中山區","民權東路","二段與松江路口(東向西公車道)(一)","121.533567",25.062522,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"92","中山區","松江路","39號","121.532723",25.047135,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"93","中山區","松江路","57號","121.533099",25.048113,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"94","中山區","松江路","51號(對面公車專用道上)","121.532908",25.048595,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"95","中山區","松江路","51號(對面公車專用道上)","121.532908",25.048595,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"96","中山區","松江路","67之2號","121.53304",25.049319,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"97","中山區","松江路","77巷口","121.533115",25.049927,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"98","中山區","松江路","87號","121.533139",25.050385,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"99","中山區","松江路","97巷口(對面公車專用道)","121.533089",25.051678,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"100","中山區","松江路","97巷口(對面公車專用道)","121.533089",25.051678,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"101","中山區","松江路","100巷口","121.532836",25.051117,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"102","中山區","松江路","54號前","121.532838",25.048592,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"103","中山區","松江路","54號(對面公車專用道上)","121.532905",25.048589,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"104","中山區","松江路","54號(對面公車專用道上)","121.532905",25.048589,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"105","中山區","一江街","13號","121.531514",25.051344,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"106","中山區","吉林路","14巷(吉林公園)","121.528888",25.050545,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"107","中山區","建國北路","一段136號","121.536454",25.050887,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"108","中山區","長安東路","二段146號(中山女高人行道上)對面","121.537751",25.048431,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"109","中山區","長安東路","二段131之3號","121.536286",25.048433,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"110","中山區","長安東路","二段148號","121.537721",25.048317,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"111","中山區","南京東路","吉林路路口（對面公車專用道上）","121.529749",25.052011,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"112","中山區","南京東路","松江路路口 (對面公車專用道上)","121.532628",25.052007,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"113","中山區","南京東路","二段178號","121.535036",25.051888,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"114","中山區","南京東路","建國北路口 (對面公車專用道上)","121.536193",25.051988,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"115","中山區","南京東路","龍江路口 (對面公車專用道上)","121.540071",25.051873,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"116","中山區","南京東路","復興北路口 (對面公車專用道上)","121.543508",25.051827,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"117","中山區","南京東路","二段28號","121.529133",25.051961,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"118","中山區","南京東路","三段34號","121.537943",25.051857,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"119","中山區","長安東路","二段148號對面(中山女高人行道上)","121.537751",25.048431,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"120","中山區","民生東路","二段164巷(松江路口)","121.533367",25.057806,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"121","中山區","民生東路","二段170號","121.535028",25.057793,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"122","中山區","民生東路","二段與建國北路口","121.536534",25.057751,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"123","中山區","松江路","156號對面(公車專用道候車亭)","121.532969",25.055746,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"124","中山區","松江路","147號","121.533199",25.055327,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"125","中山區","松江路","209號","121.533245",25.05726,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"126","中山區","松江路","206號對面公車專用道","121.533115",25.057616,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"127","中山區","松江路","206號對面公車專用道","121.533113",25.05757,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"128","中山區","松江路","204巷口對面公車專用道","121.533115",25.057616,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"129","中山區","松江路","206號","121.533001",25.057828,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"130","中山區","松江路","182號","121.532696",25.056261,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"131","中山區","松江路","122號對面(公車專用道候車亭)","121.532969",25.055746,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"132","中山區","松江路","158號","121.532946",25.05497,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"133","中山區","松江路","156號","121.533065",25.054604,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"134","中山區","松江路","長春路口公車專用道","121.533076",25.055168,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"135","中山區","松江路","長春路口公車專用道","121.533087",25.05491,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"136","中山區","建國北路","二段72號","121.536516",25.054907,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"137","中山區","建國北路","二段88號","121.536589",25.056331,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"138","中山區","一江街","長春路口","121.531635",25.054965,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"139","中山區","松江路","204巷對面(公車專用道候車亭)","121.533141",25.057494,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"140","中山區","長春路","165之1號","121.534168",25.054872,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"141","中山區","長春路","188號對面","121.535293",25.054863,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"142","中山區","松江路","萬泰銀行長春路口","121.533229",25.054883,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"143","中山區","建國北路","二段與長春路口(建國橋下，西向東橋下)","121.536787",25.054722,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"144","中山區","建國北路","二段與民生東路(建國橋下，西向東橋下)","121.53691",25.0578,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"145","中山區","長春路","346號","121.541625",25.054604,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
"146","中山區","建國北路","二段11巷口","121.537147",25.053744,"嚴禁投入家用垃圾，違者重罰新台幣6000元"
