行政區,路名,段、號及其他註明,經度,緯度,備註
內湖區,內湖路,一段594號(西湖圖書館),121.577389,25.079134,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,文德路,91號右側10公尺,121.582894,25.078603,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,環山路,一段60巷口對面,121.566641,25.086342,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,環山路,一段與內湖路一段285巷65弄交叉口,121.565775,25.084661,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,環山路,二段131號對面公車站牌,121.576683,25.084249,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,環山路,二段25巷口左側30公尺,121.572251,25.085861,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,6段50號中油股份有限公司,121.584213,25.068642,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,6段25號時報廣場站牌,121.583101,25.06857,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,6段13號民權大橋站牌,121.579051,25.066989,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,民權東路,6段13號對面民權大橋站牌,121.579519,25.066866,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行愛路,176號,121.579176,25.06528,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,行愛路,128號7-11便利商店前,121.580303,25.063754,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,1段128號對面大潤發一館2,121.578896,25.060916,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,1段188號對面大潤發二館,121.577126,25.063208,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,1段319號金莎家俱旁,121.576238,25.064381,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,1段188號大潤發二館,121.576863,25.063175,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,1段130號統一皇帽汽車百貨店前,121.577507,25.062327,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,舊宗路,1段128號大潤發一館前1,121.578903,25.060483,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,新湖三路,內湖花市,121.575084,25.062805,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,新湖三路,內湖花市,121.574184,25.062601,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,321號台北花市站牌,121.57307,25.07734,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,581號仁寶大樓站牌,121.568518,25.079345,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,瑞光路,639號竹城大廈,121.566114,25.080454,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,基湖路,8號內湖基湖路口站牌,121.565255,25.08195,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段66號北勢湖公園,121.561615,25.084087,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段126號治盤新村站牌,121.563779,25.082938,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段246號西湖市場站牌,121.565813,25.082193,嚴禁投入家用垃圾，違者重罰新台幣6000元
內湖區,內湖路,1段恕德家商站牌,121.568817,25.081987,嚴禁投入家用垃圾，違者重罰新台幣6000元
