行政區,路名,段、號及其他註明,經度,緯度,備註
信義區,松智路,新舞台,121.565589,25.03694,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松智路,世貿2館公車站旁,121.565511,25.034539,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松智路,信義廣場與松廉路口,121.565505,25.033955,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松智路,信義廣場與信義路口,121.565463,25.032974,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松仁路,A13平面停車場旁-2,121.568516,25.037936,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松仁路,南山工地-2,121.568237,25.034339,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松仁路,昇龍信義停車場旁-2,121.568445,25.033421,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,永吉路,165號,121.570534,25.045709,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松隆路,松山車站公車站牌前,121.578854,25.048157,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松隆路,松山車站公車站牌前,121.57871,25.048151,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段617號,121.579088,25.04157,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松山路,344號人行道,121.577727,25.041341,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段425號,121.57543,25.04099,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段297號前,121.57385,25.041035,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段261號前,121.570914,25.041107,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段217號旁,121.570431,25.041156,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,永吉路,120巷101號五分埔分隊,121.570914,25.041107,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,嘉興街,236號(警衛室),121.556168,25.025773,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,2段131-1號,121.556803,25.028211,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,2段121號,121.557026,25.028626,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,2段117號,121.55713,25.02855,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,2段77號,121.558112,25.030399,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,2段33號,121.55891,25.031519,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,基隆路,2段21號,121.559005,25.03194444,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,5段2號,121.5597222,25.03277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,5段2號,121.56,25.031841,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,5段2號,121.5602778,25.03277778,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,嘉興街,236號,121.556146,25.025746,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,5段100號,121.566357,25.032714,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松勤街,100號,121.5644891,25.0318705,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,信義路,5段108號,121.5652763,25.0325077,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松勤街,50號,121.5599314,25.0317977,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,松山路,650巷15弄18-18號旁,121.3444,25.031711,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段723號對面(公車站旁),121.3453,25.0237,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,忠孝東路,5段723號對面(公車站旁),121.3453,25.0237,嚴禁投入家用垃圾，違者重罰新台幣6000元
信義區,林口街,82號對面人行道,121.3445,25.0221,嚴禁投入家用垃圾，違者重罰新台幣6000元
